Estado/Municípios,Nº do decreto,Início,Fim,Classificação,Politicas
Rio de Janeiro/RJ,47008,08/03/2020,,Instalações Hospitalares,dispõe sobre a autorização ambiental de funcionamento para instalações hospitalares e outras obras emergenciais
Rio de Janeiro(Estado),47270,10/03/2020,,Outros,"Altera o Decreto nº 47.247, de 13 de março de 2020"
Rio de Janeiro/RJ,46966,11/03/2020,,Outros,dispões sobre as medidas de enfrentamento da emergência de saúde pública internacional do coronavírus
Rio de Janeiro(Estado),47246,12/03/2020,,Outros,regulamenta lei Nº13.979 e estabelece medidas para o enfrentamento do novo coronavírus
Rio de Janeiro(Estado),47247,13/03/2020,,Medidas de Prevenção,estabelece conjunto de ações necessárias à redução do contágio pelo covid-19
Rio de Janeiro/RJ,46970,13/03/2020,,Medidas de Prevenção,dispõe sobre medidas temporárias de prevenção ao contágio e de enfrentamento da propagação do novo coronavírus(covid-19); dispõe sobre o regime de trabalho do servidor público e contratado
Rio de Janeiro/RJ,46973,16/03/2020,,Medidas de Prevenção,Reconhece a situação de emergência na Saúde pública do Estado do Rio de Janeiro em razão do contágio e adota medidas enfrentamento da propagação decorrente do novo coronavírus
Rio de Janeiro(Estado),47263,17/03/2020,,Situação de Emergência,"declara situação de emergência no município do Rio de Janeiro, em face da pandemia do covid-19"
Rio de Janeiro(Estado),47264,17/03/2020,,Outros,dispõe sobre medidas emergenciais no âmbito fazendário em face da pandemia do novo coronavírus
Rio de Janeiro(Estado),47269,19/03/2020,,Gabinete de Crise,Institui o Gabinete de Crise da Prefeitura da Cidade do Rio de Janeiro
Rio de Janeiro/RJ,46984,20/03/2020,,Calamidade Pública,decreta estado de calamidade pública decorrente do coronavírus(covid-19)
Rio de Janeiro(Estado),47282,21/03/2020,,Calamidade Pública,"Determina a adoção de medidas adicionais, pelo Município, para enfrentamento da pandemia do novo Coronavírus"
Rio de Janeiro(Estado),47283,21/03/2020,,Outros,"Dispõe sobre o expediente nas repartições públicas municipais, em razão da pandemia do novo Coronavírus"
Rio de Janeiro(Estado),47284,21/03/2020,,Funcionamento do transporte,Dispõe sobre o funcionamento do sistema Bus Rapid Transit- BRT aos sábados
Rio de Janeiro(Estado),47282,21/03/2020,,Medidas de Prevenção,série de medidas de combate ao covid-19
Rio de Janeiro(Estado),47294,24/03/2020,,Funcionamento do transporte,"Dispõe sobre a criação de Serviços Eventuais, como parte integrante do Serviço Público de Transporte de Passageiros por Ônibus da Cidade do Rio de Janeiro , para atendimento aos usuários do corredor expresso BRT - Transoeste, como medida adicional de contenção do contágio pelo novo Coronavírus"
Rio de Janeiro(Estado),47295,24/03/2020,,Funcionamento de supermercados,Estabelece o atendimento de sistema de entrega domiciliar (Delivery) como preferencial nas compras realizadas por consumidores com idade igual ou superior a 60 (sessenta) anos nos estabelecimentos supermercadistas do Município do Rio de Janeiro durante o período de pandemia da COVID-19
Rio de Janeiro(Estado),47296,24/03/2020,,Outros,Dispõe sobre o procedimento para credenciamento de estabelecimentos hoteleiros para hospedagem de idosos assintomáticos moradores de comunidades carentes visando prevenir a contaminação pelo novo Coronavírus
Rio de Janeiro(Estado),47297,24/03/2020,,Funcionamento do transporte,Dispõe sobre a limitação da concessão de gratuidades nos serviços de transporte público coletivo de passageiros do Município
Rio de Janeiro(Estado),47301,26/03/2020,,Medidas de Prevenção,"Altera o Decreto Rio n° 47.282, de 21 de março de 2020, que determina a adoção de medidas adicionais"
Rio de Janeiro(Estado),47312,27/03/2020,,Outros,Regulamenta a requisição administrativa para enfrentamento da emergência de saúde pública de importância internacional decorrente da propagação do Coronavírus-Covid-19
Rio de Janeiro(Estado),47327,27/03/2020,,Funcionamento do transporte,"Altera o Decreto n° 38.242, de 26 de dezembro de 2013, que aprova o regulamento e o código disciplinar do Serviço de Transporte Individual de Passageiros em Veículos de Aluguel a Taxímetro do Município"
Rio de Janeiro(Estado),47328,27/03/2020,,Disk Aglomeração,institui o serviço DISK AGLOMERAÇÃO
Rio de Janeiro(Estado),47329,27/03/2020,,Cestas Básicas,Dispõe sobre o credenciamento de supermercados para fornecimento de cestas básicas em decorrência da pandemia do Coronavírus
